Date,AQI,Bus Commuter Count,Bike Commuter Count,Walk Commuter Count,Public Transport Commuter Count,Engagement Count
2023-01-01 00:00:00,109.93,26,34,19,97,138
2023-01-01 01:00:00,97.23,42,43,51,56,120
2023-01-01 02:00:00,112.95,94,8,49,108,93
2023-01-01 03:00:00,130.46,41,37,42,118,451
2023-01-01 04:00:00,95.32,41,17,22,60,452
2023-01-01 05:00:00,95.32,48,24,50,64,128
2023-01-01 06:00:00,131.58,32,11,51,113,90
2023-01-01 07:00:00,115.35,21,19,56,52,91
2023-01-01 08:00:00,90.61,48,27,46,118,62
2023-01-01 09:00:00,110.85,98,18,25,72,28
2023-01-01 10:00:00,90.73,71,27,54,102,209
2023-01-01 11:00:00,90.69,46,23,31,86,11
2023-01-01 12:00:00,104.84,69,33,29,58,332
2023-01-01 13:00:00,61.73,98,24,59,64,296
2023-01-01 14:00:00,65.5,42,33,52,52,129
2023-01-01 15:00:00,88.75,63,28,36,142,292
2023-01-01 16:00:00,79.74,96,22,50,119,172
2023-01-01 17:00:00,106.28,41,14,25,66,207
2023-01-01 18:00:00,81.84,62,45,43,75,431
2023-01-01 19:00:00,71.75,56,12,41,70,23
2023-01-01 20:00:00,129.31,80,30,35,121,98
2023-01-01 21:00:00,95.48,75,33,34,70,405
2023-01-01 22:00:00,101.35,22,14,11,60,355
2023-01-01 23:00:00,71.51,82,21,21,87,138
2023-01-02 00:00:00,89.11,38,6,49,121,313
2023-01-02 01:00:00,102.22,42,10,18,137,173
2023-01-02 02:00:00,76.98,48,9,21,84,28
2023-01-02 03:00:00,107.51,49,32,35,63,418
2023-01-02 04:00:00,87.99,58,45,18,63,495
2023-01-02 05:00:00,94.17,44,9,19,59,142
2023-01-02 06:00:00,87.97,27,22,41,61,315
2023-01-02 07:00:00,137.05,77,30,43,87,350
2023-01-02 08:00:00,99.73,35,24,57,83,41
2023-01-02 09:00:00,78.85,91,45,29,90,488
2023-01-02 10:00:00,116.45,20,31,48,59,298
2023-01-02 11:00:00,75.58,24,16,11,66,207
2023-01-02 12:00:00,104.18,22,11,10,66,329
2023-01-02 13:00:00,60.81,84,7,45,116,432
2023-01-02 14:00:00,73.44,23,14,33,111,191
2023-01-02 15:00:00,103.94,83,38,36,144,159
2023-01-02 16:00:00,114.77,29,29,11,50,63
2023-01-02 17:00:00,103.43,40,39,40,61,242
2023-01-02 18:00:00,97.69,65,20,23,53,257
2023-01-02 19:00:00,93.98,46,6,11,91,151
2023-01-02 20:00:00,70.43,85,28,38,62,214
2023-01-02 21:00:00,85.6,60,14,24,147,321
2023-01-02 22:00:00,90.79,32,42,21,134,165
2023-01-02 23:00:00,121.14,28,26,46,135,30
2023-01-03 00:00:00,106.87,55,30,37,53,370
2023-01-03 01:00:00,64.74,77,47,29,131,231
2023-01-03 02:00:00,106.48,73,43,48,118,281
2023-01-03 03:00:00,92.3,31,31,33,68,28
2023-01-03 04:00:00,86.46,97,33,30,51,194
2023-01-03 05:00:00,112.23,33,42,19,61,333
2023-01-03 06:00:00,120.62,53,24,55,130,255
2023-01-03 07:00:00,118.63,72,31,23,123,280
2023-01-03 08:00:00,83.22,39,45,46,147,303
2023-01-03 09:00:00,93.82,94,24,27,55,320
2023-01-03 10:00:00,106.63,35,48,33,57,436
2023-01-03 11:00:00,119.51,89,23,23,100,322
2023-01-03 12:00:00,90.42,75,24,43,60,345
2023-01-03 13:00:00,96.29,77,39,21,112,401
2023-01-03 14:00:00,77.87,23,6,31,106,392
2023-01-03 15:00:00,76.08,23,34,15,61,293
2023-01-03 16:00:00,116.25,39,38,45,122,86
2023-01-03 17:00:00,127.12,29,26,54,51,148
2023-01-03 18:00:00,98.56,43,7,45,57,248
2023-01-03 19:00:00,120.07,45,10,31,60,320
2023-01-03 20:00:00,107.23,56,19,23,102,404
2023-01-03 21:00:00,87.1,73,31,25,149,282
2023-01-03 22:00:00,107.23,40,14,45,59,361
2023-01-03 23:00:00,130.76,93,13,34,134,378
2023-01-04 00:00:00,99.28,57,37,41,133,197
2023-01-04 01:00:00,131.29,65,36,42,57,43
2023-01-04 02:00:00,47.61,23,10,54,85,355
2023-01-04 03:00:00,116.44,79,45,45,142,27
2023-01-04 04:00:00,101.74,76,40,29,125,428
2023-01-04 05:00:00,94.02,64,6,27,63,16
2023-01-04 06:00:00,101.84,39,33,47,103,126
2023-01-04 07:00:00,60.25,36,8,12,134,378
2023-01-04 08:00:00,95.61,90,5,32,135,167
2023-01-04 09:00:00,107.14,23,23,41,70,243
2023-01-04 10:00:00,129.56,33,30,54,99,386
2023-01-04 11:00:00,89.63,22,29,25,143,75
2023-01-04 12:00:00,83.83,99,14,14,88,230
2023-01-04 13:00:00,89.96,77,19,13,69,203
2023-01-04 14:00:00,118.31,74,26,30,137,449
2023-01-04 15:00:00,106.58,23,25,49,136,247
2023-01-04 16:00:00,89.4,43,26,23,56,301
2023-01-04 17:00:00,110.27,53,40,48,58,213
2023-01-04 18:00:00,101.94,49,38,40,50,214
